simulation,period,variable,risk,value
1,1,ptf_bop,Cash,150000.0
1,1,ptf_bop,Real Estate,170000.0
1,1,ptf_bop,Precious Metals,42500.0
1,1,ptf_bop,Bonds,255000.0
1,1,ptf_bop,Crypto,42500.0
1,1,ptf_bop,Stocks,340000.0
1,1,ptf_eop,Cash,100000.0
1,1,ptf_eop,Real Estate,177568.20302836303
1,1,ptf_eop,Precious Metals,41071.08781105557
1,1,ptf_eop,Bonds,193589.9478124562
1,1,ptf_eop,Crypto,49496.779734566204
1,1,ptf_eop,Stocks,279982.59478840436
1,1,ptf1,Cash,100000.0
1,1,ptf1,Real Estate,170000.0
1,1,ptf1,Precious Metals,42500.0
1,1,ptf1,Bonds,255000.0
1,1,ptf1,Crypto,42500.0
1,1,ptf1,Stocks,340000.0
1,1,ptf2,Cash,100000.0
1,1,ptf2,Real Estate,170000.0
1,1,ptf2,Precious Metals,42500.0
1,1,ptf2,Bonds,255000.0
1,1,ptf2,Crypto,42500.0
1,1,ptf2,Stocks,340000.0
1,1,ptf3,Cash,100000.0
1,1,ptf3,Real Estate,177568.20302836303
1,1,ptf3,Precious Metals,41071.08781105557
1,1,ptf3,Bonds,193589.9478124562
1,1,ptf3,Crypto,49496.779734566204
1,1,ptf3,Stocks,279982.59478840436
1,1,ptf4,Cash,100000.0
1,1,ptf4,Real Estate,177568.20302836303
1,1,ptf4,Precious Metals,41071.08781105557
1,1,ptf4,Bonds,193589.9478124562
1,1,ptf4,Crypto,49496.779734566204
1,1,ptf4,Stocks,279982.59478840436
1,1,ptf5,Cash,100000.0
1,1,ptf5,Real Estate,177568.20302836303
1,1,ptf5,Precious Metals,41071.08781105557
1,1,ptf5,Bonds,193589.9478124562
1,1,ptf5,Crypto,49496.779734566204
1,1,ptf5,Stocks,279982.59478840436
1,1,returns,Cash,0.0
1,1,returns,Money Market,-0.06587090389710121
1,1,returns,Bonds,-0.24082373406879917
1,1,returns,Stocks,-0.17652178003410476
1,1,returns,Crypto,0.16463011140155778
1,1,returns,Precious Metals,-0.03362146326928077
1,1,returns,Real Estate,0.04451884134331191
1,1,contributions,,0.0
1,1,withdrawals,,50000.0
1,1,availableCash,,100000.0
1,1,cashBuffer,,150000.0
1,1,cashDepletion,,50000.0
1,1,shortfall,,0.0
1,1,cashReplenishment,,0
1,1,financialGainLoss,,-108291.38682515454
1,2,ptf_bop,Cash,100000.0
1,2,ptf_bop,Real Estate,177568.20302836303
1,2,ptf_bop,Precious Metals,41071.08781105557
1,2,ptf_bop,Bonds,193589.9478124562
1,2,ptf_bop,Crypto,49496.779734566204
1,2,ptf_bop,Stocks,279982.59478840436
1,2,ptf_eop,Cash,50000.0
1,2,ptf_eop,Real Estate,127378.57804549707
1,2,ptf_eop,Precious Metals,31410.428233720813
1,2,ptf_eop,Bonds,212521.23169282908
1,2,ptf_eop,Crypto,19737.91578563659
1,2,ptf_eop,Stocks,231802.64578347869
1,2,ptf1,Cash,50000.0
1,2,ptf1,Real Estate,177568.20302836303
1,2,ptf1,Precious Metals,41071.08781105557
1,2,ptf1,Bonds,193589.9478124562
1,2,ptf1,Crypto,49496.779734566204
1,2,ptf1,Stocks,279982.59478840436
1,2,ptf2,Cash,50000.0
1,2,ptf2,Real Estate,148341.7226349691
1,2,ptf2,Precious Metals,37085.430658742276
1,2,ptf2,Bonds,222512.58395245366
1,2,ptf2,Crypto,37085.430658742276
1,2,ptf2,Stocks,296683.4452699382
1,2,ptf3,Cash,50000.0
1,2,ptf3,Real Estate,127378.57804549707
1,2,ptf3,Precious Metals,31410.428233720813
1,2,ptf3,Bonds,212521.23169282908
1,2,ptf3,Crypto,19737.91578563659
1,2,ptf3,Stocks,231802.64578347869
1,2,ptf4,Cash,50000.0
1,2,ptf4,Real Estate,127378.57804549707
1,2,ptf4,Precious Metals,31410.428233720813
1,2,ptf4,Bonds,212521.23169282908
1,2,ptf4,Crypto,19737.91578563659
1,2,ptf4,Stocks,231802.64578347869
1,2,ptf5,Cash,50000.0
1,2,ptf5,Real Estate,127378.57804549707
1,2,ptf5,Precious Metals,31410.428233720813
1,2,ptf5,Bonds,212521.23169282908
1,2,ptf5,Crypto,19737.91578563659
1,2,ptf5,Stocks,231802.64578347869
1,2,returns,Cash,0.0
1,2,returns,Money Market,-0.024818085705259604
1,2,returns,Bonds,-0.044902414425961296
1,2,returns,Stocks,-0.21868695581388964
1,2,returns,Crypto,-0.46777169807562413
1,2,returns,Precious Metals,-0.15302511860364965
1,2,returns,Real Estate,-0.14131657781173917
1,2,contributions,,0.0
1,2,withdrawals,,50000.0
1,2,availableCash,,50000.0
1,2,cashBuffer,,150000.0
1,2,cashDepletion,,50000.0
1,2,shortfall,,0.0
1,2,cashReplenishment,,0
1,2,financialGainLoss,,-118857.81363368325
1,3,ptf_bop,Cash,50000.0
1,3,ptf_bop,Real Estate,127378.57804549707
1,3,ptf_bop,Precious Metals,31410.428233720813
1,3,ptf_bop,Bonds,212521.23169282908
1,3,ptf_bop,Crypto,19737.91578563659
1,3,ptf_bop,Stocks,231802.64578347869
1,3,ptf_eop,Cash,19700.07559423824
1,3,ptf_eop,Real Estate,124570.15990823248
1,3,ptf_eop,Precious Metals,31142.53997705812
1,3,ptf_eop,Bonds,186855.23986234874
1,3,ptf_eop,Crypto,31142.53997705812
1,3,ptf_eop,Stocks,249140.31981646497
1,3,ptf1,Cash,0.0
1,3,ptf1,Real Estate,127378.57804549707
1,3,ptf1,Precious Metals,31410.428233720813
1,3,ptf1,Bonds,212521.23169282908
1,3,ptf1,Crypto,19737.91578563659
1,3,ptf1,Stocks,231802.64578347869
1,3,ptf2,Cash,0.0
1,3,ptf2,Real Estate,124570.15990823247
1,3,ptf2,Precious Metals,31142.539977058117
1,3,ptf2,Bonds,186855.2398623487
1,3,ptf2,Crypto,31142.539977058117
1,3,ptf2,Stocks,249140.31981646494
1,3,ptf3,Cash,0.0
1,3,ptf3,Real Estate,124493.17323870964
1,3,ptf3,Precious Metals,33417.231756960726
1,3,ptf3,Bonds,223273.09636802354
1,3,ptf3,Crypto,37539.984916021574
1,3,ptf3,Stocks,223827.3888556851
1,3,ptf4,Cash,19700.07559423824
1,3,ptf4,Real Estate,124493.17323870964
1,3,ptf4,Precious Metals,33417.231756960726
1,3,ptf4,Bonds,203573.0207737853
1,3,ptf4,Crypto,37539.984916021574
1,3,ptf4,Stocks,223827.3888556851
1,3,ptf5,Cash,19700.07559423824
1,3,ptf5,Real Estate,124570.15990823248
1,3,ptf5,Precious Metals,31142.53997705812
1,3,ptf5,Bonds,186855.23986234874
1,3,ptf5,Crypto,31142.53997705812
1,3,ptf5,Stocks,249140.31981646497
1,3,returns,Cash,0.0
1,3,returns,Money Market,0.010463503615672075
1,3,returns,Bonds,0.194898770473351
1,3,returns,Stocks,-0.10160110165800215
1,3,returns,Crypto,0.2054246360019539
1,3,returns,Precious Metals,0.07304130560892966
1,3,returns,Real Estate,-0.0006180185493824952
1,3,contributions,,0.0
1,3,withdrawals,,50000.0
1,3,availableCash,,0.0
1,3,cashBuffer,,150000.0
1,3,cashDepletion,,50000.0
1,3,shortfall,,0.0
1,3,cashReplenishment,,19700.07559423824
1,3,financialGainLoss,,19700.07559423824
1,4,ptf_bop,Cash,19700.07559423824
1,4,ptf_bop,Real Estate,124570.15990823248
1,4,ptf_bop,Precious Metals,31142.53997705812
1,4,ptf_bop,Bonds,186855.23986234874
1,4,ptf_bop,Crypto,31142.53997705812
1,4,ptf_bop,Stocks,249140.31981646497
1,4,ptf_eop,Cash,0.0
1,4,ptf_eop,Real Estate,101188.79891255219
1,4,ptf_eop,Precious Metals,32176.61129388562
1,4,ptf_eop,Bonds,189038.9283789351
1,4,ptf_eop,Crypto,21687.155905421303
1,4,ptf_eop,Stocks,199713.1134081226
1,4,ptf1,Cash,0.0
1,4,ptf1,Real Estate,124570.15990823248
1,4,ptf1,Precious Metals,31142.53997705812
1,4,ptf1,Bonds,156555.31545658698
1,4,ptf1,Crypto,31142.53997705812
1,4,ptf1,Stocks,249140.31981646497
1,4,ptf2,Cash,0.0
1,4,ptf2,Real Estate,118510.17502708014
1,4,ptf2,Precious Metals,29627.543756770036
1,4,ptf2,Bonds,177765.2625406202
1,4,ptf2,Crypto,29627.543756770036
